Latitude,Longitude,City,Distributor,Demand
12.0369,79.54595,Vikravandi,D12,110
28.21145,79.05665,Wazirganj,D13,109
16.36307,80.84406,Vuyyuru,D14,107
17.65872,83.27419,Yarada,D1,86
33.77033,74.09254,Punch,D2,87
11.47613,78.73553,Viraganur,D3,113
12.9251,79.36626,Walajapet,D4,86
18.7392,73.63945,Wadgaon,D5,98
26.83093,81.32929,Zaidpur,D6,88
25.96667,94.51667,Zunheboto,D7,115
16.73308,82.21364,Yanam,D8,86
11.36552,76.78442,Wellington,D9,116
26.09717,94.25817,Wokha,D10,92
16.50745,80.6466,Vijayawada,D11,99
12.0369,79.54595,Vikravandi,D12,110
28.21145,79.05665,Wazirganj,D13,109
16.36307,80.84406,Vuyyuru,D14,107
21.76184,80.04301,Waraseoni,D15,96
20.0424,74.48944,Yeola,D16,90
19.40844,73.26285,Vasind,D17,89
12.79041,79.82358,Walajabad,D18,82
23.52604,77.81092,Vidisha,D19,94
25.41961,83.55786,Zamania,D20,120
25.69867,82.73354,Zafarabad,D21,95
12.04629,77.03034,Yelandur,D22,94
14.9637,74.70929,Yellapur,D23,113
24.67792,94.04767,Yairipok,D24,90
18.11692,83.41148,Vizianagaram,D25,111
21.47101,78.26965,Warud,D26,85
23.69855,72.5521,Visnagar,D27,90
17.59064,80.32146,Yellandu,D28,100
12.10769,79.24516,Vettavalam,D29,115
25.0172,85.64047,Waris Aliganj,D30,101
20.77048,73.50074,Waghai,D31,110
11.5183,79.32411,Vriddhachalam,D32,82
16.36738,78.06889,Wanparti,D33,119
11.93975,79.49244,Villupuram,D34,112
23.1892,73.47987,Virpur,D35,118
20.11128,77.133,Washim,D36,83
23.5623,72.74848,Vijapur,D37,110
27.59497,93.83854,Ziro,D38,83
15.61545,76.01184,Yelbarga,D39,95
16.77007,77.13755,Yadgir,D40,85
20.05507,78.95313,Wani,D41,106
22.66079,72.75519,Vasa,D42,88
20.39324,78.13201,Yavatmal,D43,105
22.61198,70.94379,Wankaner,D44,87
18,79.58333,Warangal,D45,96
15.78502,80.30663,Vetapalem,D46,88
9.58509,77.95787,Virudunagar,D47,92
9.13227,78.16635,Vilattikulam,D48,96
18.46523,78.86894,Vemalwada,D49,98
15.39585,73.81568,Vasco da Gama,D50,85
20.22885,79.00277,Warora,D51,99
22.69021,73.56299,Vejalpur,D52,83
34.9274,76.79336,Thang,D53,84
17.68138,77.60743,Zahirabad,D54,88
17.27343,74.53792,Vite,D55,94
13.10073,77.59632,Yelahanka,D56,112
13.96005,79.58032,Venkatagiri,D57,88
8.69786,77.51916,Vadakku Viravanallur,D58,111
17.05183,76.99048,Wadi,D59,103
12.19644,75.80512,Virarajendrapet,D60,116
12.68162,78.62014,Vaniyambadi,D61,89
9.23183,78.78545,Keelakarai,D62,101
10.53102,77.95019,Vedasandur,D63,106
27.0186,77.17636,Wer,D64,88
21.16772,75.69762,Yaval,D65,97
32.16423,76.19622,Yol,D66,80
17.95276,73.89058,Wai,D67,87
20.73933,78.59784,Wardha,D68,92
30.12796,77.28371,Yamunanagar,D69,85
24.58921,94.06386,Wangjing,D70,94
22.21027,71.37967,Vinchia,D71,98
19.45591,72.81136,Virar,D72,91
17.3381,77.90441,Vikarabad,D73,88
17.68009,83.20161,Visakhapatnam,D74,92
21.11079,73.39365,Vyara,D75,110
21.73947,72.06553,Vartej,D76,84
10.37208,79.85095,Vedaraniyam,D77,120
12.8924,80.08079,Vandalur,D78,87
15.86125,73.63182,Vengurla,D79,116
17.77844,83.21577,Vepagunta,D80,119
25.31668,83.01041,Varanasi,D81,120
8.71742,76.72582,Vettur,D82,97
12.9184,79.13255,Vellore,D83,86
21.33954,70.74966,Visavadar,D84,116
11.2453,77.50066,Vijayapuri,D85,81
16.0531,79.73964,Vinukonda,D86,86
27.58105,77.69662,Vrindavan,D87,88
8.7333,76.7167,Varkala,D88,94
11.10825,78.00113,Velur,D89,118
10.56207,76.91305,Vettaikkaranpudur,D90,110
10.16069,77.75883,Vattalkundu,D91,112
20.75817,73.36389,Vansada,D92,105
15.53239,74.13671,Valpoy,D93,111
15.23237,73.94311,Varca,D94,120
9.71158,76.33888,Vayalar,D95,91
12.50429,79.60556,Vandavasi,D96,113
20.9077,70.36786,Veraval,D97,107
10.68333,79.83333,Velankanni,D98,83
9.24171,77.41177,Vasudevanallur,D99,81
21.01767,75.91042,Varangaon,D100,117
20.61013,72.93428,Valsad,D101,113
11.92094,79.58239,Valavanur,D102,86
10.32691,76.95116,Valparai,D103,91
10.71988,79.05981,Vallam,D104,106
11.94043,75.30512,Azhikkal,D105,89
21.88868,71.87935,Valabhipur,D106,108
22.53333,72.9,Vallabh Vidyanagar,D107,104
10.89012,79.39322,Valangaiman,D108,92
22.30505,73.40016,Vaghodia,D109,83
19.92672,74.7275,Vaijapur,D110,81
9.74858,76.39637,Vaikam,D111,93
14.31119,79.8043,Vadlapudi,D112,118
10.44081,78.09784,Vadamadurai,D113,90
27.31933,82.41872,Utraula,D114,111
23.78593,72.63893,Vadnagar,D115,85
10.08481,77.96113,Vadippatti,D116,97
11.16892,77.45431,Uttukkuli,D117,96
12.61433,79.75748,Uttiramerur,D118,92
8.38286,77.61221,Vadakku Valliyur,D119,97
9.80701,77.32718,Uttamapalaiyam,D120,82
22.29941,73.20812,Vadodara,D121,90
30.72986,78.44342,Uttarkashi,D122,99
19.65347,73.14811,Vada,D123,118
27.79796,79.23763,Usehat,D124,117
21.23333,72.86667,Utran,D125,88
9.96936,77.78621,Usilampatti,D126,86
26.54706,80.48781,Unnao,D127,92
34.08064,74.05088,Uri,D128,119
26.15336,75.21523,Uniara,D129,112
21.74015,70.28256,Upleta,D130,112
11.26356,78.5139,Uppiliyapuram,D131,111
23.88745,71.76975,Un,D132,84
19.66529,82.20629,Umarkot,D133,101
26.51056,78.93667,Umri,D134,93
14.94348,77.25494,Uravakonda,D135,119
20.82318,71.03795,Una,D136,94
17.40577,78.55911,Uppal Kalan,D137,102
23.33794,75.55931,Unhel,D138,120
31.46493,76.26914,Una,D139,85
18.87813,72.93924,Uran,D140,109
23.80366,72.39101,Unjha,D141,91
22.69881,73.11561,Umreth,D142,118
19.21667,73.15,Ulhasnagar,D143,108
29.51124,75.87823,Uklana,D144,112
23.52473,80.83716,Umaria,D145,105
20.85396,79.32466,Umred,D146,103
29.58479,77.2554,Un,D147,113
17.83841,76.62331,Umarga,D148,98
19.60144,77.68878,Umarkhed,D149,108
21.84353,71.80305,Umrala,D150,113
26.79681,80.32093,Ugu,D151,111
23.18239,75.77643,Ujjain,D152,97
12.80569,74.86058,Ullal,D153,116
21.97102,80.46625,Ukwa,D154,110
13.33467,74.74617,Udupi,D155,105
23.07434,78.51108,Udaipura,D156,84
24.73355,75.97514,Udpura,D157,104
18.00804,76.07011,Tuljapur,D158,103
18.39258,77.11756,Udgir,D159,80
21.38333,79.73333,Tumsar,D160,86
28.00311,79.00821,Ujhani,D161,118
13.16374,76.66641,Turuvekere,D162,117
28.86993,75.9165,Tosham,D163,116
8.33702,77.86776,Tisaiyanvilai,D164,101
26.91667,76.81667,Todabhim,D165,82
27.5337,82.41653,Tulsipur,D166,103
9.74173,79.01774,Tondi,D167,87
24.58584,73.71346,Udaipur,D168,99
13.34136,77.1022,Tumkur,D169,89
11.4134,76.69521,Ooty,D170,87
10.58806,77.24779,Udumalaippettai,D171,103
26.31688,89.66549,Tufanganj,D172,104
27.2146,78.23683,Tundla,D173,103
8.42918,78.02968,Udangudi,D174,95
29.46747,76.17798,Bara Uchana,D175,82
27.72297,75.47178,Udaipur,D176,100
17.35905,82.54607,Tuni,D177,120
23.53333,91.48333,Udaipur,D178,106
32.92431,75.13573,Udhampur,D179,117
33.92708,75.11585,Tral,D180,99
29.71332,75.90441,Tohana,D181,120
23.90381,86.19792,Topchanchi,D182,97
11.14968,78.5987,Turaiyur,D183,87
33.86319,74.76524,Tsrar Sharif,D184,104
26.75367,92.10215,Udalguri,D185,91
20.28961,83.15233,Titlagarh,D186,113
20.12416,84.36869,Udayagiri,D187,105
26.26704,94.82415,Tuensang,D188,111
25.51421,90.20239,Tura,D189,103
8.4855,76.94924,Thiruvananthapuram,D190,87
19.93268,73.52907,Trimbak,D191,88
25.45505,79.11428,Tori-Fatehpur,D192,105
26.02401,75.48182,Todaraisingh,D193,91
10.99857,79.45227,Thiruvidaimaruthur,D194,92
22.74252,88.37326,Titagarh,D195,120
13.15823,80.30181,Tiruvottiyur,D196,81
10.51667,76.21667,Thrissur,D197,86
12.66052,79.54308,Cheyyar,D198,87
26.16638,75.78824,Tonk,D199,86
26.6014,94.20386,Titabar,D200,88
29.66824,77.32391,Titron,D201,117
12.22662,79.07461,Tiruvannamalai,D202,104
11.23996,79.83705,Tirumullaivasal,D203,86
13.68333,79.35,Tirumala,D204,91
9.54606,78.91721,Tiruppalaikudi,D205,89
9.82564,78.25795,Tiruppuvanam,D206,120
9.3816,76.57489,Tiruvalla,D207,107
12.21207,76.9018,Tirumakudal Narsipur,D208,82
13.14376,79.90889,Tiruvallur,D209,103
11.38016,77.89444,Tiruchengode,D210,91
11.9662,79.20259,Tirukkoyilur,D211,103
9.48333,77.83333,Tiruttangal,D212,85
21.68522,79.71906,Tirodi,D213,113
13.17594,79.61637,Thiruthani,D214,82
31.83364,76.50539,Tira Sujanpur,D215,99
10.84431,78.95647,Thirukattupalli,D216,87
11.11541,77.35456,Tiruppur,D217,84
8.49725,78.11906,Tiruchchendur,D218,84
13.68835,75.24548,Tirthahalli,D219,102
9.88151,78.07306,Tirupparangunram,D220,82
10.91368,75.92118,Tirur,D221,97
10.8155,78.69651,Tiruchirappalli,D222,101
13.63551,79.41989,Tirupati,D223,118
8.72742,77.6838,Tirunelveli,D224,108
25.61739,80.52718,Tindwari,D225,93
27.48905,95.35992,Tinsukia,D226,84
12.234,79.65551,Tindivanam,D227,86
24.63881,93.99639,Thoubal,D228,107
13.11448,80.02713,Tinnanur,D229,90
